region,category,domain,dnssec_apex,dkim_selector,dkim_kind,dkim_validated
US,gov-census,eseclab.gov,signed,none,none,na
US,gov-census,gao.gov,unsigned,none,none,na
US,gov-census,fasab.gov,unsigned,none,none,na
US,gov-census,cbo.gov,unsigned,none,none,na
US,gov-census,gaonet.gov,unsigned,none,none,na
US,gov-census,cbonews.gov,unsigned,none,none,na
US,gov-census,gaoinnovation.gov,signed,none,none,na
US,gov-census,congressionaldirectory.gov,signed,none,none,na
US,gov-census,congressionalrecord.gov,signed,none,none,na
US,gov-census,ecfr.gov,signed,none,none,na
US,gov-census,gaoinnovations.gov,signed,none,none,na
US,gov-census,gaoinnovationlab.gov,signed,none,none,na
US,gov-census,fdlp.gov,signed,none,none,na
US,gov-census,fdsys.gov,signed,none,none,na
US,gov-census,federalregister.gov,signed,none,none,na
US,gov-census,globalchange.gov,unsigned,none,none,na
US,gov-census,gpo.gov,signed,selector2,cname,no
US,gov-census,govinfo.gov,signed,none,none,na
US,gov-census,fedreg.gov,signed,none,none,na
US,gov-census,gpodev.gov,signed,none,none,na
US,gov-census,presidentialdocuments.gov,signed,none,none,na
US,gov-census,housecalendar.gov,signed,none,none,na
US,gov-census,ofr.gov,signed,none,none,na
US,gov-census,usgcrp.gov,unsigned,none,none,na
US,gov-census,africanamericanhistorymonth.gov,signed,none,none,na
US,gov-census,usgovernmentmanual.gov,signed,none,none,na
US,gov-census,uscode.gov,signed,none,none,na
US,gov-census,senatecalendar.gov,signed,none,none,na
US,gov-census,americanmemory.gov,signed,none,none,na
US,gov-census,congress.gov,signed,none,none,na
US,gov-census,americaslibrary.gov,signed,none,none,na
US,gov-census,copyright.gov,signed,none,none,na
US,gov-census,asianpacificheritage.gov,signed,none,none,na
US,gov-census,ccb.gov,signed,none,none,na
US,gov-census,blackhistorymonth.gov,signed,none,none,na
US,gov-census,crs.gov,signed,none,none,na
US,gov-census,copyrightclaimsboard.gov,signed,none,none,na
US,gov-census,crb.gov,signed,none,none,na
US,gov-census,currencyreaderapplication.gov,signed,none,none,na
US,gov-census,currencyreader.gov,signed,none,none,na
US,gov-census,digitizationguidelines.gov,signed,none,none,na
US,gov-census,digitalpreservation.gov,signed,none,none,na
US,gov-census,hispanicheritagemonth.gov,signed,none,none,na
US,gov-census,jewishheritage.gov,signed,none,none,na
US,gov-census,law.gov,signed,none,none,na
US,gov-census,jewishheritagemonth.gov,signed,none,none,na
